start, goal, path_length, nodes_visited, time, num_evax
56 70 126, 12 5 79, 2, 14254, 0.12063, 6
56 70 126, 12 5 79, 2, 42728, 0.366965, 6
56 70 126, 12 5 79, 2, 2, 9.7648e-05, 6
56 70 126, 12 5 79, 2, 2, 7.595e-05, 6
56 70 126, 12 5 79, 2, 2, 7.1692e-05, 6
56 70 126, 12 5 79, 2, 32431, 0.269957, 6
56 70 126, 12 5 79, 2, 2, 8.3424e-05, 6
56 70 126, 12 5 79, 2, 2, 6.8795e-05, 6
56 70 126, 12 5 79, 2, 2, 7.2407e-05, 6
56 70 126, 12 5 79, 2, 15770, 0.131764, 6
56 70 126, 12 5 79, 2, 15770, 0.125893, 6
56 70 126, 12 5 79, 2, 84036, 0.687131, 6
56 70 126, 12 5 79, 377, 116702, 0.947869, 6
14 5 80, 12 5 79, 3, 19, 0.000135882, 6
14 5 80, 12 5 79, 3, 19, 0.000144209, 6
14 5 80, 12 5 79, 3, 3, 8.9179e-05, 6
14 5 80, 12 5 79, 3, 4, 9.3733e-05, 6
14 5 80, 12 5 79, 3, 19, 0.000130487, 6
14 5 80, 12 5 79, 3, 19, 0.000130108, 6
14 5 80, 12 5 79, 3, 19, 0.000122902, 6
14 5 80, 12 5 79, 3, 19, 0.000116739, 6
14 5 80, 12 5 79, 3, 19, 0.000126874, 6
14 5 80, 12 5 79, 3, 19, 0.000121147, 6
14 5 80, 12 5 79, 3, 19, 0.00012229, 6
14 5 80, 12 5 79, 3, 19, 0.000139272, 6
14 5 80, 12 5 79, 3, 3, 0.000100354, 6
14 5 80, 12 5 79, 3, 4, 8.0186e-05, 6
14 5 80, 12 5 79, 3, 19, 0.000125831, 6
14 5 80, 12 5 79, 3, 19, 0.000126781, 6
14 5 80, 12 5 79, 3, 19, 0.000122136, 6
14 5 80, 12 5 79, 3, 19, 0.000142415, 6
14 5 80, 12 5 79, 3, 19, 0.000148594, 6
14 5 80, 12 5 79, 3, 19, 0.000151511, 6
14 5 80, 12 5 79, 3, 19, 0.00012534, 6
14 5 80, 12 5 79, 3, 19, 0.000125996, 6
14 5 80, 12 5 79, 3, 3, 9.2689e-05, 6
14 5 80, 12 5 79, 3, 4, 0.000173935, 6
14 5 80, 12 5 79, 3, 19, 0.000225112, 6
14 5 80, 12 5 79, 3, 19, 0.000111765, 6
14 5 80, 12 5 79, 3, 19, 0.000124801, 6
14 5 80, 12 5 79, 3, 19, 0.000115649, 6
14 5 80, 12 5 79, 3, 19, 0.000125114, 6
14 5 80, 12 5 79, 3, 19, 0.000112106, 6
