PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
15768,03/05/2022,15:55:48,26:55:00,3.7,6,999084,36299276,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:55:49,26:56:00,3.4,6,999084,36299276,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:55:50,26:57:00,25.4,5.9,996016,36295200,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:55:51,26:58:00,378.3,5.9,996624,36311208,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:55:52,26:59:00,511.9,5.9,997228,36312024,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:55:53,27:01:00,435.8,5.9,997564,36312424,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:55:55,27:02:00,514.1,5.9,995688,36310504,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:55:56,27:03:00,433,5.9,995596,36309980,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:55:57,27:04:00,466.4,5.9,993268,36307436,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:55:58,27:05:00,494.2,5.9,990380,36302564,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:55:59,27:06:00,511.9,5.9,990048,36301820,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:00,27:07:00,442,5.9,989224,36300980,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:01,27:08:00,424.3,5.9,988984,36300232,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:02,27:09:00,557.9,5.9,984376,36295044,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:03,27:10:00,604.6,5.9,984576,36295232,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:04,27:11:00,568.3,5.9,985144,36295792,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:05,27:12:00,479.8,5.9,983944,36294572,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:06,27:13:00,378.9,5.9,983940,36294564,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:07,27:14:00,518.5,5.9,984896,36295524,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:08,27:15:00,464.2,5.9,984908,36295536,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:09,27:17:00,470.1,5.9,984912,36295524,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:11,27:18:00,482.5,5.9,985012,36295596,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:12,27:19:00,500.5,5.9,986072,36296668,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:13,27:20:00,511.3,5.9,984428,36295012,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:14,27:21:00,468.7,5.9,984880,36295492,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:15,27:22:00,536,5.9,984356,36294924,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:16,27:23:00,616,5.9,983996,36294632,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:17,27:24:00,558.5,5.9,984020,36294648,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:18,27:25:00,570.8,5.8,979292,36289892,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:19,27:26:00,552.8,5.8,978488,36289156,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:20,27:27:00,561.9,5.8,978408,36289076,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:56:21,27:28:00,591.5,5.8,978476,36289204,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
