start, goal, path_length, nodes_visited, time
45 5 194, 149 5 210, 111, 2758, 0.467613
45 5 194, 149 5 210, 111, 2777, 0.669239
45 5 194, 149 5 210, 111, 2778, 0.54627
45 5 194, 149 5 210, 111, 2767, 0.387006
45 5 194, 149 5 210, 111, 2779, 0.644512
45 5 194, 149 5 210, 111, 2767, 0.439633
45 5 194, 149 5 210, 111, 2768, 0.421461
45 5 194, 149 5 210, 111, 2767, 0.388237
45 5 194, 149 5 210, 111, 2759, 0.387653
45 5 194, 149 5 210, 111, 2758, 0.362503
45 5 194, 149 5 210, 111, 2758, 0.588646
45 5 194, 149 5 210, 111, 2762, 0.654565
45 5 194, 149 5 210, 111, 2767, 0.733738
45 5 194, 149 5 210, 111, 2758, 0.480706
45 5 194, 149 5 210, 111, 2774, 0.753991
45 5 194, 149 5 210, 111, 2761, 0.50852
