start, goal, path_length, nodes_visited, time, num_evax
124 5 103, 149 5 210, 188, 19078, 0.562113, 10
124 5 103, 149 5 210, 188, 19078, 0.290783, 10
124 5 103, 149 5 210, 188, 19078, 0.269102, 10
124 5 103, 149 5 210, 188, 19078, 0.31048, 10
124 5 103, 149 5 210, 188, 19078, 0.359602, 10
124 5 103, 149 5 210, 188, 19078, 0.215009, 10
124 5 103, 149 5 210, 188, 19078, 0.272016, 10
124 5 103, 149 5 210, 188, 19078, 0.336228, 10
124 5 103, 149 5 210, 188, 19078, 0.402396, 10
124 5 103, 149 5 210, 188, 19078, 0.279946, 10
124 5 103, 149 5 210, 188, 19078, 0.324373, 10
124 5 103, 149 5 210, 188, 19078, 0.367796, 10
124 5 103, 149 5 210, 188, 19078, 0.471679, 10
124 5 103, 149 5 210, 188, 19078, 0.292552, 10
124 5 103, 149 5 210, 188, 19078, 0.334877, 10
124 5 103, 149 5 210, 188, 19078, 0.372243, 10
124 5 103, 149 5 210, 188, 19078, 0.421165, 10
