start, goal, path_length, nodes_visited, time, num_evax
119 5 198, 149 5 210, 104, 5370, 0.405751, 15
119 5 198, 149 5 210, 104, 5370, 0.331443, 15
119 5 198, 149 5 210, 104, 5371, 0.229285, 15
119 5 198, 149 5 210, 104, 5370, 0.218433, 15
119 5 198, 149 5 210, 104, 5370, 0.280445, 15
119 5 198, 149 5 210, 104, 5370, 0.153973, 15
119 5 198, 149 5 210, 104, 5370, 0.436498, 15
119 5 198, 149 5 210, 104, 5370, 0.209469, 15
119 5 198, 149 5 210, 104, 5370, 0.296848, 15
119 5 198, 149 5 210, 104, 5370, 0.266329, 15
119 5 198, 149 5 210, 104, 5370, 0.457876, 15
119 5 198, 149 5 210, 104, 5370, 0.0543277, 15
119 5 198, 149 5 210, 104, 5371, 0.419442, 15
119 5 198, 149 5 210, 104, 5370, 0.397829, 15
119 5 198, 149 5 210, 104, 5370, 0.140623, 15
119 5 198, 149 5 210, 104, 5370, 0.338875, 15
119 5 198, 149 5 210, 104, 5370, 0.341673, 15
