start, goal, path_length, nodes_visited, time, num_evax
131 38 235, 149 5 210, 2, 4580, 0.127389, 30
131 38 235, 149 5 210, 2, 2, 5.2323e-05, 30
131 38 235, 149 5 210, 2, 11584, 0.151693, 30
131 38 235, 149 5 210, 2, 3065, 0.0343855, 30
131 38 235, 149 5 210, 2, 2, 4.896e-05, 30
131 38 235, 149 5 210, 2, 2, 5.1885e-05, 30
131 38 235, 149 5 210, 2, 2, 0.000148518, 30
131 38 235, 149 5 210, 2, 2, 6.0248e-05, 30
131 38 235, 149 5 210, 2, 3877, 0.0445959, 30
131 38 235, 149 5 210, 2, 2, 4.8097e-05, 30
131 38 235, 149 5 210, 2, 2342, 0.0281905, 30
131 38 235, 149 5 210, 2, 3730, 0.0416052, 30
131 38 235, 149 5 210, 2, 2, 5.0622e-05, 30
131 38 235, 149 5 210, 2, 2, 4.9086e-05, 30
131 38 235, 149 5 210, 2, 4499, 0.0766668, 30
131 38 235, 149 5 210, 2, 6270, 0.0812875, 30
131 38 235, 149 5 210, 2, 6198, 0.0986787, 30
131 38 235, 149 5 210, 2, 6159, 0.074003, 30
131 38 235, 149 5 210, 2, 42879, 0.562018, 30
131 38 235, 149 5 210, 2, 21936, 0.263915, 30
131 38 235, 149 5 210, 2, 1725, 0.0253738, 30
131 38 235, 149 5 210, 2, 5380, 0.0788591, 30
131 38 235, 149 5 210, 2, 5380, 0.0793991, 30
131 38 235, 149 5 210, 2, 5380, 0.115943, 30
131 38 235, 149 5 210, 2, 5380, 0.0694167, 30
131 38 235, 149 5 210, 2, 4959, 0.0770094, 30
131 38 235, 149 5 210, 2, 12562, 0.157237, 30
131 38 235, 149 5 210, 2, 3545, 0.0403725, 30
131 38 235, 149 5 210, 2, 5293, 0.0579771, 30
131 38 235, 149 5 210, 2, 8469, 0.0924355, 30
131 38 235, 149 5 210, 2, 3259, 0.0392944, 30
131 38 235, 149 5 210, 2, 2, 0.000121391, 30
131 38 235, 149 5 210, 2, 2, 6.4516e-05, 30
131 38 235, 149 5 210, 2, 2, 5.7779e-05, 30
131 38 235, 149 5 210, 2, 2, 0.000100559, 30
131 38 235, 149 5 210, 2, 5314, 0.0763938, 30
131 38 235, 149 5 210, 2, 5314, 0.0657601, 30
131 38 235, 149 5 210, 2, 2, 5.9463e-05, 30
131 38 235, 149 5 210, 2, 2, 6.1579e-05, 30
131 38 235, 149 5 210, 2, 2, 5.9443e-05, 30
131 38 235, 149 5 210, 2, 2, 0.000109444, 30
131 38 235, 149 5 210, 2, 2, 5.6321e-05, 30
131 38 235, 149 5 210, 2, 2, 4.8192e-05, 30
131 38 235, 149 5 210, 2, 2931, 0.0338069, 30
131 38 235, 149 5 210, 2, 4582, 0.0501548, 30
131 38 235, 149 5 210, 2, 4815, 0.0631723, 30
131 38 235, 149 5 210, 2, 3443, 0.0713911, 30
131 38 235, 149 5 210, 2, 13271, 0.192951, 30
131 38 235, 149 5 210, 2, 5292, 0.0980794, 30
131 38 235, 149 5 210, 2, 2475, 0.03164, 30
131 38 235, 149 5 210, 2, 2, 6.5106e-05, 30
131 38 235, 149 5 210, 2, 2, 0.000404244, 30
131 38 235, 149 5 210, 2, 2, 5.8634e-05, 30
131 38 235, 149 5 210, 2, 2, 6.9819e-05, 30
131 38 235, 149 5 210, 2, 4806, 0.0752056, 30
131 38 235, 149 5 210, 2, 10244, 0.142264, 30
131 38 235, 149 5 210, 2, 6023, 0.0612132, 30
131 38 235, 149 5 210, 2, 6023, 0.0744431, 30
131 38 235, 149 5 210, 2, 6023, 0.103902, 30
131 38 235, 149 5 210, 2, 6023, 0.0950015, 30
131 38 235, 149 5 210, 2, 4784, 0.0752684, 30
131 38 235, 149 5 210, 2, 2, 0.000104473, 30
131 38 235, 149 5 210, 2, 3663, 0.039398, 30
