start, goal, path_length, nodes_visited, time
121 5 27, 12 5 79, 111, 2110, 0.0658936
121 5 27, 12 5 79, 111, 2110, 0.10614
121 5 27, 12 5 79, 111, 2110, 0.131396
121 5 27, 12 5 79, 111, 2110, 0.0774813
121 5 27, 12 5 79, 111, 2084, 0.141111
121 5 27, 12 5 79, 111, 2009, 0.0642701
121 5 27, 12 5 79, 111, 2009, 0.167361
121 5 27, 12 5 79, 111, 2009, 0.0351402
121 5 27, 12 5 79, 111, 2009, 0.0787209
121 5 27, 12 5 79, 111, 2009, 0.112685
121 5 27, 12 5 79, 111, 2009, 0.160215
121 5 27, 12 5 79, 111, 2009, 0.0388516
121 5 27, 12 5 79, 111, 2009, 0.0458039
121 5 27, 12 5 79, 111, 2009, 0.0472506
121 5 27, 12 5 79, 111, 2009, 0.111873
121 5 27, 12 5 79, 111, 2009, 0.13495
121 5 27, 12 5 79, 111, 2009, 0.184711
121 5 27, 12 5 79, 111, 2009, 0.0449621
