start, goal, path_length, nodes_visited, time, num_evax
43 5 106, 12 5 79, 90, 4168, 0.0776772, 15
43 5 106, 12 5 79, 90, 4168, 0.0687001, 15
43 5 106, 12 5 79, 90, 4168, 0.0693172, 15
43 5 106, 12 5 79, 90, 4168, 0.0727297, 15
43 5 106, 12 5 79, 90, 4168, 0.107417, 15
43 5 106, 12 5 79, 90, 4168, 0.115904, 15
43 5 106, 12 5 79, 90, 4168, 0.101439, 15
43 5 106, 12 5 79, 90, 4168, 0.104419, 15
43 5 106, 12 5 79, 90, 4168, 0.128036, 15
43 5 106, 12 5 79, 90, 4168, 0.12874, 15
43 5 106, 12 5 79, 90, 4168, 0.133514, 15
43 5 106, 12 5 79, 90, 4168, 0.132288, 15
43 5 106, 12 5 79, 90, 4168, 0.15876, 15
43 5 106, 12 5 79, 90, 4168, 0.109998, 15
43 5 106, 12 5 79, 90, 4168, 0.131638, 15
43 5 106, 12 5 79, 90, 4168, 0.104729, 15
43 5 106, 12 5 79, 90, 4168, 0.108832, 15
43 5 106, 12 5 79, 90, 4168, 0.168901, 15
43 5 106, 12 5 79, 90, 4168, 0.112354, 15
43 5 106, 12 5 79, 90, 4168, 0.192386, 15
