start, goal, path_length, nodes_visited, time, num_evax
43 5 106, 12 5 79, 90, 23317, 0.134559, 15
43 5 106, 12 5 79, 90, 23071, 0.114227, 15
43 5 106, 12 5 79, 90, 23071, 0.119971, 15
43 5 106, 12 5 79, 90, 23071, 0.143058, 15
43 5 106, 12 5 79, 90, 23071, 0.1567, 15
43 5 106, 12 5 79, 90, 23071, 0.172155, 15
43 5 106, 12 5 79, 90, 23071, 0.154495, 15
43 5 106, 12 5 79, 90, 23071, 0.152344, 15
43 5 106, 12 5 79, 90, 23071, 0.201182, 15
43 5 106, 12 5 79, 90, 23071, 0.150746, 15
43 5 106, 12 5 79, 90, 23071, 0.228941, 15
43 5 106, 12 5 79, 90, 23071, 0.231945, 15
43 5 106, 12 5 79, 90, 23071, 0.219655, 15
43 5 106, 12 5 79, 90, 23071, 0.27328, 15
43 5 106, 12 5 79, 90, 23071, 0.253848, 15
43 5 106, 12 5 79, 90, 23071, 0.187937, 15
43 5 106, 12 5 79, 90, 23071, 0.214048, 15
43 5 106, 12 5 79, 90, 23071, 0.225736, 15
43 5 106, 12 5 79, 90, 23071, 0.255055, 15
43 5 106, 12 5 79, 90, 23071, 0.195756, 15
43 5 106, 12 5 79, 90, 23071, 0.259844, 15
