PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
15768,03/05/2022,15:59:23,30:30:00,4.2,5.9,983300,36274608,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:24,30:32:00,3.9,5.9,983256,36274084,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:26,30:33:00,54.9,5.9,983232,36274568,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:27,30:34:00,1047.7,9.2,1537296,39966828,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:28,30:35:00,1145.9,13.1,2202820,44163836,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:29,30:36:00,1017.3,16.2,2724168,47841068,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:30,30:37:00,1022.2,19.8,3322984,51518128,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:31,30:38:00,1069.5,23.4,3918656,54675476,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:32,30:39:00,1017.6,26.7,4471444,57827584,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:33,30:40:00,1123.5,30.3,5076624,61509416,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:34,30:41:00,1033,33.6,5633952,64656024,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:35,30:42:00,1022.8,36.3,6083636,67282760,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:36,30:44:00,889.1,38.4,6439128,69910096,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:38,30:45:00,1062.3,38.4,6439864,72001576,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:39,30:46:00,1007.7,37.5,6291992,74624560,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:40,30:47:00,1047.3,36.6,6139856,77248228,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:41,30:48:00,1019.7,35.7,5992572,79356188,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:42,30:49:00,987.8,34.7,5826908,81461712,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:43,30:51:00,514.4,34,5699392,83031328,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:45,30:52:00,1036.6,35.6,5969056,85654520,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:46,30:53:00,1047.6,34.7,5814908,88276604,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:47,30:54:00,1041.5,33.8,5671340,90377128,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:48,30:55:00,1032.7,33.8,5678288,92483472,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:49,30:56:00,990.9,33.9,5691652,94576584,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:50,30:57:00,1025.8,35,5877476,96682612,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:51,30:58:00,952.7,35.9,6014940,98787708,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:52,31:00:00,1059.5,36.6,6134352,10141193,2  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:54,31:01:00,1019.7,36,6034188,10351731,6  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:55,31:02:00,1035.6,35.7,5994960,10509769,2  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:56,31:03:00,1042.5,34.8,5840736,10719470,0  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:57,31:04:00,934.8,34.2,5746072,109291756,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:58,31:05:00,1019,34.5,5790324,11138873,6  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,15:59:59,31:06:00,969.5,35,5865712,112960620,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:00,31:07:00,991.4,35.8,5998444,115054404,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:01,31:09:00,998.8,36.6,6133976,117160588,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:03,31:10:00,1020.9,37.2,6235072,11926430,0  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:04,31:11:00,1001.5,37.7,6331492,12083314,4  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:05,31:12:00,892.2,39.7,6655268,122937588,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:06,31:13:00,928.2,41.9,7037396,124522036,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:07,31:14:00,879.5,43.1,7223912,126619012,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:08,31:15:00,985.6,43.5,7304232,128710024,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:09,31:16:00,888.1,45.1,7559252,130283000,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:10,31:18:00,992.3,44.4,7453008,132396192,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:12,31:19:00,905,43.5,7296276,133968328,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:13,31:20:00,964.8,42.7,7160336,135540668,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
