PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
16503,03/05/2022,16:02:52,00:31,4,2.9,489880,36201296,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:02:53,00:32,6.9,2.9,490004,36203868,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:02:54,00:33,21.9,2.9,491476,36205300,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:02:55,00:34,31.6,3,505480,36222740,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:02:56,00:35,4.9,3,505592,36222868,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:02:57,00:36,832.5,3,509596,36226160,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:02:58,00:37,797.1,3,510716,36227228,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:02:59,00:38,1097.4,3.1,513088,36231036,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:00,00:39,1128.4,3.1,515852,36233820,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:01,00:40,1179.8,3.1,518548,36235992,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:02,00:41,1177.6,3.1,520908,36238548,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:03,00:42,1177.5,3.1,523220,36240328,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:05,00:44,1171,3.1,525280,36242368,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:06,00:45,1148.7,3.1,527444,36244508,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:07,00:46,1172.6,3.2,530168,36247208,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:08,00:47,1180,3.2,533444,36250924,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:09,00:48,1180.5,3.2,535936,36253404,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:10,00:49,1167.1,3.2,539072,36256512,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:11,00:50,1149.1,3.2,542348,36259764,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:12,00:51,1162.5,3.2,544616,36262012,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:13,00:52,1139.3,3.3,548140,36265516,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:14,00:53,1163.7,3.3,551752,36268628,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:15,00:54,1138.3,3.3,555560,36272408,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:16,00:56,1134.3,3.3,560164,36276976,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:18,00:57,1166.8,3.3,561156,36278088,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:19,00:58,1166.8,3.4,565340,36282164,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:20,00:59,1177.1,3.4,570436,36287188,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:21,01:00,1176.6,3.4,574212,36290908,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:22,01:01,1140,3.4,577096,36294136,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:23,01:02,1158.6,3.4,578208,36295112,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
